Date,Service,Cost (USD)
2025-06-21,Amazon Kinesis Firehose,0.1269283123
2025-06-21,Amazon Neptune,0.0001139208
2025-06-21,Amazon OpenSearch Service,3.4378937302
2025-06-21,Amazon Quantum Ledger Database,2.382e-07
2025-06-21,Amazon QuickSight,13.9440001176
2025-06-21,Amazon Redshift,46.6851503257
2025-06-21,Amazon Relational Database Service,40.323686795
2025-06-21,Amazon Route 53,0.1953513454
2025-06-21,Amazon Simple Email Service,0.0005036265
2025-06-21,Amazon Simple Notification Service,0.5171531416
2025-06-21,Amazon Simple Queue Service,2.3192677382
2025-06-21,Amazon Simple Storage Service,134.65172893
2025-06-21,Amazon Simple Workflow Service,1.212e-07
2025-06-21,Amazon Timestream,10.6284266688
2025-06-21,Amazon Virtual Private Cloud,12.5474024403
2025-06-21,AmazonCloudWatch,66.2457331902
2025-06-21,CloudWatch Events,0.00836806
2025-06-22,AWS Backup,1.020960389
2025-06-22,AWS Config,0.0498
2025-06-22,AWS Cost Explorer,0.0166
2025-06-22,AWS Database Migration Service,2.7308106624
2025-06-22,AWS Glue,9.8272240032
2025-06-22,AWS HealthImaging,3.3214e-05
2025-06-22,AWS Key Management Service,2.667119268
2025-06-22,AWS Lambda,8.3559745501
2025-06-22,AWS Secrets Manager,1.6242036604
2025-06-22,AWS Step Functions,0.3018431367
2025-06-22,AWS Systems Manager,0.0140602
2025-06-22,AWS WAF,1.08745272
2025-06-22,AWS X-Ray,0.9485572
2025-06-22,Amazon API Gateway,0.4094894249
2025-06-22,Amazon Athena,7.2738876
2025-06-22,Amazon CloudFront,0.0010866916
2025-06-22,Amazon DynamoDB,0.8023893709
2025-06-22,Amazon EC2 Container Registry (ECR),4.9902221848
2025-06-22,EC2 - Other,17.9665756127
2025-06-22,Amazon Elastic Compute Cloud - Compute,70.3751823047
2025-06-22,Amazon Elastic Container Service,0.0066332389
2025-06-22,Amazon Elastic Load Balancing,4.9351074039
2025-06-22,Amazon Elastic MapReduce,44.4144729435
2025-06-22,Amazon Glacier,4.2e-08
2025-06-22,Amazon GuardDuty,14.7003893189
2025-06-22,Amazon Kinesis,0.9115050935
2025-06-22,Amazon Kinesis Firehose,0.1280245254
2025-06-22,Amazon Neptune,0.0001139208
2025-06-22,Amazon OpenSearch Service,3.437907774
2025-06-22,Amazon Quantum Ledger Database,2.382e-07
2025-06-22,Amazon QuickSight,13.9440001176
2025-06-22,Amazon Redshift,50.0135975144
2025-06-22,Amazon Relational Database Service,40.2257136931
2025-06-22,Amazon Route 53,0.1960326094
2025-06-22,Amazon Simple Email Service,0.0003372733
2025-06-22,Amazon Simple Notification Service,0.4696097246
2025-06-22,Amazon Simple Queue Service,2.2982829673
2025-06-22,Amazon Simple Storage Service,136.7731386359
2025-06-22,Amazon Simple Workflow Service,1.212e-07
2025-06-22,Amazon Timestream,10.6284266688
2025-06-22,Amazon Virtual Private Cloud,12.5917235011
2025-06-22,AmazonCloudWatch,67.1593257383
2025-06-22,CloudWatch Events,0.00934912
2025-06-23,AWS Backup,1.0212895424
2025-06-23,AWS CloudShell,9.75e-08
2025-06-23,AWS Config,0.4731
2025-06-23,AWS Cost Explorer,0.0166
2025-06-23,AWS DataSync,0.0001283913
2025-06-23,AWS Database Migration Service,2.7308106624
2025-06-23,AWS Glue,16.9136335068
2025-06-23,AWS HealthImaging,1.6607e-05
2025-06-23,AWS Key Management Service,2.882362338
2025-06-23,AWS Lambda,9.7835418351
2025-06-23,AWS Secrets Manager,1.7754997349
2025-06-23,AWS Step Functions,0.596767411
2025-06-23,AWS Systems Manager,0.0140021
2025-06-23,AWS WAF,1.089323208
2025-06-23,AWS X-Ray,1.48563775
2025-06-23,Amazon API Gateway,0.4308120489
2025-06-23,Amazon Athena,3.022943
2025-06-23,Amazon CloudFront,0.0005393117
2025-06-23,Amazon DynamoDB,1.0270048601
2025-06-23,Amazon EC2 Container Registry (ECR),5.0037897726
2025-06-23,EC2 - Other,18.2330379023
2025-06-23,Amazon Elastic Compute Cloud - Compute,46.7488676137
2025-06-23,Amazon Elastic Container Service,0.0066331949
2025-06-23,Amazon Elastic Load Balancing,4.9417017358
2025-06-23,Amazon Elastic MapReduce,48.7518243461
2025-06-23,Amazon Glacier,2.07e-08
2025-06-23,Amazon GuardDuty,16.5154892998
2025-06-23,Amazon Kinesis,0.9138144178
2025-06-23,Amazon Kinesis Firehose,0.1415744825
2025-06-23,Amazon Neptune,0.0001139208
2025-06-23,Amazon OpenSearch Service,3.4379133154
2025-06-23,Amazon Quantum Ledger Database,2.382e-07
2025-06-23,Amazon QuickSight,14.4420001176
2025-06-23,Amazon Redshift,71.9340312894
2025-06-23,Amazon Relational Database Service,36.5905351094
2025-06-23,Amazon Route 53,0.2003681974
2025-06-23,Amazon Simple Email Service,0.0329814737
2025-06-23,Amazon Simple Notification Service,1.0312924918
2025-06-23,Amazon Simple Queue Service,3.5179023732
2025-06-23,Amazon Simple Storage Service,77.2703936091
2025-06-23,Amazon Simple Workflow Service,5.98e-08
2025-06-23,Amazon Timestream,10.6284266688
2025-06-23,Amazon Virtual Private Cloud,14.1723778101
2025-06-23,AmazonCloudWatch,62.1397389885
2025-06-23,CloudWatch Events,0.04516611
2025-06-24,AWS Backup,1.0216336952
2025-06-24,AWS Config,2.15883
2025-06-24,AWS Cost Explorer,0.0166
2025-06-24,AWS Database Migration Service,2.7308106624
2025-06-24,AWS Glue,9.7345174479
2025-06-24,AWS HealthImaging,3.3214e-05
2025-06-24,AWS Key Management Service,2.7788899258
2025-06-24,AWS Lambda,9.6477774468
2025-06-24,AWS Secrets Manager,1.7744419604
2025-06-24,AWS Step Functions,0.5581841984
2025-06-24,AWS Systems Manager,0.0140602
2025-06-24,AWS WAF,1.087519452
2025-06-24,AWS X-Ray,1.23822305
2025-06-24,Amazon API Gateway,0.4100884542
2025-06-24,Amazon Athena,4.22941025
2025-06-24,Amazon CloudFront,0.0011955186
2025-06-24,Amazon DynamoDB,0.9785715961
2025-06-24,Amazon EC2 Container Registry (ECR),5.0816818801
2025-06-24,EC2 - Other,21.7497115519
2025-06-24,Amazon Elastic Compute Cloud - Compute,37.8567572113
2025-06-24,Amazon Elastic Container Service,0.0066331081
2025-06-24,Amazon Elastic Load Balancing,4.9447912626
2025-06-24,Amazon Elastic MapReduce,44.4365667756
2025-06-24,Amazon Glacier,4.2e-08
2025-06-24,Amazon GuardDuty,16.4259201232
2025-06-24,Amazon Kinesis,0.9317120759
2025-06-24,Amazon Kinesis Firehose,0.3198892659
2025-06-24,Amazon Neptune,0.0001139208
2025-06-24,Amazon OpenSearch Service,3.4379029872
2025-06-24,Amazon Quantum Ledger Database,2.382e-07
2025-06-24,Amazon QuickSight,13.9440001176
